neighbourhood,count
Bang Bon,3
Bang Kapi,144
Bang Khae,58
Bang Khen,82
Bang Kho laen,52
Bang Khun thain,15
Bang Na,212
Bang Phlat,108
Bang Rak,497
Bang Sue,107
Bangkok Noi,113
Bangkok Yai,57
Bueng Kum,29
Chatu Chak,268
Chom Thong,39
Din Daeng,227
Don Mueang,139
Dusit,80
Huai Khwang,391
Khan Na Yao,40
Khlong Sam Wa,20
Khlong San,194
Khlong Toei,535
Lak Si,83
Lat Krabang,118
Lat Phrao,46
Min Buri,35
Nong Chok,6
Nong Khaem,11
Parthum Wan,161
Phasi Charoen,69
Phaya Thai,213
Phra Khanong,249
Phra Nakhon,455
Pom Prap Sattru Phai,77
Pra Wet,88
Rat Burana,25
Ratchathewi,374
Sai Mai,30
Samphanthawong,63
Saphan Sung,31
Sathon,266
Suanluang,190
Taling Chan,26
Thawi Watthana,7
Thon buri,109
Thung khru,17
Vadhana,681
Wang Thong Lang,74
Yan na wa,79
