neighbourhood,room_type,count
Bang Bon,Entire home/apt,4
Bang Kapi,Entire home/apt,178
Bang Khae,Entire home/apt,45
Bang Khen,Entire home/apt,60
Bang Kho laen,Entire home/apt,97
Bang Khun thain,Entire home/apt,10
Bang Na,Entire home/apt,348
Bang Phlat,Entire home/apt,136
Bang Rak,Entire home/apt,416
Bang Sue,Entire home/apt,175
Bangkok Noi,Entire home/apt,44
Bangkok Yai,Entire home/apt,34
Bueng Kum,Entire home/apt,35
Chatu Chak,Entire home/apt,346
Chom Thong,Entire home/apt,52
Din Daeng,Entire home/apt,298
Don Mueang,Entire home/apt,43
Dusit,Entire home/apt,29
Huai Khwang,Entire home/apt,1044
Khan Na Yao,Entire home/apt,29
Khlong Sam Wa,Entire home/apt,23
Khlong San,Entire home/apt,249
Khlong Toei,Entire home/apt,1659
Lak Si,Entire home/apt,55
Lat Krabang,Entire home/apt,118
Lat Phrao,Entire home/apt,28
Min Buri,Entire home/apt,33
Nong Chok,Entire home/apt,13
Nong Khaem,Entire home/apt,7
Parthum Wan,Entire home/apt,333
Phasi Charoen,Entire home/apt,108
Phaya Thai,Entire home/apt,247
Phra Khanong,Entire home/apt,423
Phra Nakhon,Entire home/apt,88
Pom Prap Sattru Phai,Entire home/apt,41
Pra Wet,Entire home/apt,91
Rat Burana,Entire home/apt,30
Ratchathewi,Entire home/apt,819
Sai Mai,Entire home/apt,22
Samphanthawong,Entire home/apt,46
Saphan Sung,Entire home/apt,18
Sathon,Entire home/apt,535
Suanluang,Entire home/apt,253
Taling Chan,Entire home/apt,18
Thawi Watthana,Entire home/apt,11
Thon buri,Entire home/apt,143
Thung khru,Entire home/apt,14
Vadhana,Entire home/apt,1550
Wang Thong Lang,Entire home/apt,87
Yan na wa,Entire home/apt,138
